Latin name,Common Name,Taxonomy ID
Homo sapiens,Human,
*Phlebotomus spp.*,Sandfly,
Homo sapiens,Human,
Culicidae,Mosquito,
Culicidae,Mosquito,
Corvus brachyrhynchos,American crow,
*Phoenicopterus roseus*,Chilean flamingo,
Homo sapiens,Human,
Culicidae,Mosquito,
Culicidae,Mosquito,
Culicidae,Mosquito,
*Equus caballus*,Horse,
Corvus brachyrhynchos,American crow,
*Passeriformes*,,
Homo sapiens,Human,
Homo sapiens,Human,
Homo sapiens,Human,
Culicidae,Mosquito,
*Streptopelia decaocto*,Turtle dove,
Corvus brachyrhynchos,American crow,
Homo sapiens,Human,
Equus caballus ,Horse,
Aves,Birds,
Homo sapiens,Human,
